code	name	comarca_code	comarca_name	amb	vegueria_code	vegueria_name	province_code	province_name	male_population	female_population	total_population
439044	Aldea, l'	9	Baix Ebre		AT04	Terres de l'Ebre	43	Tarragona	2.239 	2.006 	4.245 
430069	Aldover	9	Baix Ebre		AT04	Terres de l'Ebre	43	Tarragona	459 	459 	918 
430075	Aleixar, l'	8	Baix Camp		AT03	Camp de Tarragona	43	Tarragona	448 	437 	885 
80039	Alella	21	Maresme		AT01	Metropolità	8	Barcelona	4.726 	4.934 	9.660 
430081	Alfara de Carles	9	Baix Ebre		AT04	Terres de l'Ebre	43	Tarragona	202 	176 	378 
250138	Alfarràs	33	Segrià		AT05	Ponent	25	Lleida	1.558 	1.418 	2.976 
250143	Alfés	33	Segrià		AT05	Ponent	25	Lleida	164 	162 	326 
430094	Alforja	8	Baix Camp		AT03	Camp de Tarragona	43	Tarragona	956 	927 	1.883 
250156	Algerri	23	Noguera		AT05	Ponent	25	Lleida	229 	193 	422 
250169	Alguaire	33	Segrià		AT05	Ponent	25	Lleida	1.571 	1.431 	3.002 
250175	Alins	26	Pallars Sobirà		AT07	Alt Pirineu i Aran	25	Lleida	153 	135 	288 
430108	Alió	1	Alt Camp		AT03	Camp de Tarragona	43	Tarragona	202 	217 	419 
250194	Almacelles	33	Segrià		AT05	Ponent	25	Lleida	3.534 	3.232 	6.766 
250208	Almatret	33	Segrià		AT05	Ponent	25	Lleida	172 	154 	326 
250215	Almenar	33	Segrià		AT05	Ponent	25	Lleida	1.879 	1.646 	3.525 
430115	Almoster	8	Baix Camp		AT03	Camp de Tarragona	43	Tarragona	702 	708 	1.410 
250220	Alòs de Balaguer	23	Noguera		AT05	Ponent	25	Lleida	69 	54 	123 
170062	Alp	15	Cerdanya		AT07	Alt Pirineu i Aran	17	Girona	835 	760 	1.595 
80044	Alpens	24	Osona		AT06	Comarques Centrals	8	Barcelona	156 	134 	290 
250236	Alpicat	33	Segrià		AT05	Ponent	25	Lleida	3.146 	3.129 	6.275 
250241	Alt Àneu	26	Pallars Sobirà		AT07	Alt Pirineu i Aran	25	Lleida	232 	175 	407 
430120	Altafulla	36	Tarragonès		AT03	Camp de Tarragona	43	Tarragona	2.482 	2.570 	5.052 
170078	Amer	34	Selva		AT02	Comarques Gironines	17	Girona	1.095 	1.155 	2.250 
430136	Ametlla de Mar, l'	9	Baix Ebre		AT04	Terres de l'Ebre	43	Tarragona	3.617 	3.566 	7.183 
80057	Ametlla del Vallès, l'	41	Vallès Oriental		AT01	Metropolità	8	Barcelona	4.178 	4.125 	8.303 
439060	Ampolla, l'	9	Baix Ebre		AT04	Terres de l'Ebre	43	Tarragona	1.766 	1.707 	3.473 
430141	Amposta	22	Montsià		AT04	Terres de l'Ebre	43	Tarragona	10.564 	10.388 	20.952 
170084	Anglès	34	Selva		AT02	Comarques Gironines	17	Girona	2.748 	2.792 	5.540 
250273	Anglesola	38	Urgell		AT05	Ponent	25	Lleida	688 	690 	1.378 
250292	Arbeca	18	Garrigues		AT05	Ponent	25	Lleida	1.156 	1.122 	2.278 
430167	Arboç, l'	12	Baix Penedès		AT08	Penedès	43	Tarragona	71 	52 	123 
430154	Arbolí	8	Baix Camp		AT03	Camp de Tarragona	43	Tarragona	2.853 	2.660 	5.513 
170097	Arbúcies	34	Selva		AT02	Comarques Gironines	17	Girona	3.259 	3.038 	6.297 
80060	Arenys de Mar	21	Maresme		AT01	Metropolità	8	Barcelona	7.491 	7.798 	15.289 
80076	Arenys de Munt	21	Maresme		AT01	Metropolità	8	Barcelona	4.408 	4.328 	8.736 
170101	Argelaguer	19	Garrotxa		AT02	Comarques Gironines	17	Girona	221 	191 	412 
80082	Argençola	6	Anoia		AT08	Penedès	8	Barcelona	118 	105 	223 
430173	Argentera, l'	8	Baix Camp		AT03	Camp de Tarragona	43	Tarragona	82 	65 	147 
80095	Argentona	21	Maresme		AT01	Metropolità	8	Barcelona	5.899 	6.079 	11.978 
170118	Armentera, l'	2	Alt Empordà		AT02	Comarques Gironines	17	Girona	451 	456 	907 
430189	Arnes	37	Terra Alta		AT04	Terres de l'Ebre	43	Tarragona	242 	232 	474 
250313	Arres	39	Aran		AT07	Alt Pirineu i Aran	25	Lleida	42 	25 	67 
250328	Arsèguel	4	Alt Urgell		AT07	Alt Pirineu i Aran	25	Lleida	46 	33 	79 
80109	Artés	7	Bages		AT06	Comarques Centrals	8	Barcelona	2.861 	2.804 	5.665 
250334	Artesa de Lleida	33	Segrià		AT05	Ponent	25	Lleida	793 	724 	1.517 
250349	Artesa de Segre	23	Noguera		AT05	Ponent	25	Lleida	1.840 	1.774 	3.614 
430192	Ascó	30	Ribera d'Ebre		AT04	Terres de l'Ebre	43	Tarragona	877 	805 	1.682 
250365	Aspa	33	Segrià		AT05	Ponent	25	Lleida	110 	108 	218 
250371	Avellanes i Santa Linya, les	23	Noguera		AT05	Ponent	25	Lleida	269 	204 	473 
80116	Avià	14	Berguedà		AT06	Comarques Centrals	8	Barcelona	1.102 	1.123 	2.225 
80121	Avinyó	7	Bages		AT06	Comarques Centrals	8	Barcelona	1.112 	1.136 	2.248 
170123	Avinyonet de Puigventós	2	Alt Empordà		AT02	Comarques Gironines	17	Girona	795 	770 	1.565 
80137	Avinyonet del Penedès	3	Alt Penedès		AT08	Penedès	8	Barcelona	863 	789 	1.652 
80155	Badalona	13	Barcelonès	AM01	AT01	Metropolità	8	Barcelona	106.424 	109.230 	215.654 
89045	Badia del Vallès	40	Vallès Occidental	AM01	AT01	Metropolità	8	Barcelona	6.571 	6.931 	13.502 
80168	Bagà	14	Berguedà		AT06	Comarques Centrals	8	Barcelona	1.080 	1.108 	2.188 
250390	Baix Pallars	26	Pallars Sobirà		AT07	Alt Pirineu i Aran	25	Lleida	187 	163 	350 
250404	Balaguer	23	Noguera		AT05	Ponent	25	Lleida	8.323 	8.156 	16.479 
80174	Balenyà	24	Osona		AT06	Comarques Centrals	8	Barcelona	1.863 	1.848 	3.711 
80180	Balsareny	7	Bages		AT06	Comarques Centrals	8	Barcelona	1.636 	1.688 	3.324 
430206	Banyeres del Penedès	12	Baix Penedès		AT08	Penedès	43	Tarragona	1.561 	1.542 	3.103 
170157	Banyoles	28	Pla de l'Estany		AT02	Comarques Gironines	17	Girona	9.652 	9.647 	19.299 
250411	Barbens	27	Pla d'Urgell		AT05	Ponent	25	Lleida	477 	423 	900 
430213	Barberà de la Conca	16	Conca de Barberà		AT03	Camp de Tarragona	43	Tarragona	267 	238 	505 
82520	Barberà del Vallès	40	Vallès Occidental	AM01	AT01	Metropolità	8	Barcelona	16.091 	16.454 	32.545 
80193	Barcelona	13	Barcelonès	AM01	AT01	Metropolità	8	Barcelona	759.520 	845.035 	1.604.555 
250426	Baronia de Rialb, la	23	Noguera		AT05	Ponent	25	Lleida	128 	117 	245 
170160	Bàscara	2	Alt Empordà		AT02	Comarques Gironines	17	Girona	479 	464 	943 
250447	Bassella	4	Alt Urgell		AT07	Alt Pirineu i Aran	25	Lleida	117 	117 	234 
430228	Batea	37	Terra Alta		AT04	Terres de l'Ebre	43	Tarragona	966 	979 	1.945 
250450	Bausen	39	Aran		AT07	Alt Pirineu i Aran	25	Lleida	32 	26 	58 
80207	Begues	11	Baix Llobregat	AM01	AT01	Metropolità	8	Barcelona	3.317 	3.353 	6.670 
170139	Begur	10	Baix Empordà		AT02	Comarques Gironines	17	Girona	2.019 	1.966 	3.985 
250463	Belianes	38	Urgell		AT05	Ponent	25	Lleida	274 	281 	555 
251706	Bellaguarda	18	Garrigues		AT05	Ponent	25	Lleida	161 	147 	308 
170182	Bellcaire d'Empordà	10	Baix Empordà		AT02	Comarques Gironines	17	Girona	316 	336 	652 
250479	Bellcaire d'Urgell	23	Noguera		AT05	Ponent	25	Lleida	659 	637 	1.296 
250485	Bell-lloc d'Urgell	27	Pla d'Urgell		AT05	Ponent	25	Lleida	1.156 	1.173 	2.329 
430234	Bellmunt del Priorat	29	Priorat		AT03	Camp de Tarragona	43	Tarragona	93 	95 	188 
250498	Bellmunt d'Urgell	23	Noguera		AT05	Ponent	25	Lleida	153 	150 	303 
80214	Bellprat	6	Anoia		AT08	Penedès	8	Barcelona	46 	28 	74 
250501	Bellpuig	38	Urgell		AT05	Ponent	25	Lleida	2.590 	2.399 	4.989 
430249	Bellvei	12	Baix Penedès		AT08	Penedès	43	Tarragona	1.140 	1.045 	2.185 
250518	Bellver de Cerdanya	15	Cerdanya		AT07	Alt Pirineu i Aran	25	Lleida	1.051 	977 	2.028 
250523	Bellvís	27	Pla d'Urgell		AT05	Ponent	25	Lleida	1.141 	1.129 	2.270 
250539	Benavent de Segrià	33	Segrià		AT05	Ponent	25	Lleida	780 	726 	1.506 
430252	Benifallet	9	Baix Ebre		AT04	Terres de l'Ebre	43	Tarragona	356 	361 	717 
430265	Benissanet	30	Ribera d'Ebre		AT04	Terres de l'Ebre	43	Tarragona	683 	568 	1.251 
80229	Berga	14	Berguedà		AT06	Comarques Centrals	8	Barcelona	7.952 	8.286 	16.238 
170195	Besalú	19	Garrotxa		AT02	Comarques Gironines	17	Girona	1.154 	1.283 	2.437 
170209	Bescanó	20	Gironès		AT02	Comarques Gironines	17	Girona	2.411 	2.396 	4.807 
170216	Beuda	19	Garrotxa		AT02	Comarques Gironines	17	Girona	100 	93 	193 
80235	Bigues i Riells	41	Vallès Oriental		AT01	Metropolità	8	Barcelona	4.524 	4.334 	8.858 
250557	Biosca	32	Segarra		AT05	Ponent	25	Lleida	104 	95 	199 
430271	Bisbal de Falset, la	29	Priorat		AT03	Camp de Tarragona	43	Tarragona	5.370 	5.389 	10.759 
430287	Bisbal del Penedès, la	12	Baix Penedès		AT08	Penedès	43	Tarragona	120 	101 	221 
170221	Bisbal d'Empordà, la	10	Baix Empordà		AT02	Comarques Gironines	17	Girona	1.838 	1.636 	3.474 
172348	Biure	2	Alt Empordà		AT02	Comarques Gironines	17	Girona	129 	113 	242 
430290	Blancafort	16	Conca de Barberà		AT03	Camp de Tarragona	43	Tarragona	211 	202 	413 
170237	Blanes	34	Selva		AT02	Comarques Gironines	17	Girona	19.561 	19.571 	39.132 
170293	Boadella i les Escaules	2	Alt Empordà		AT02	Comarques Gironines	17	Girona	134 	127 	261 
170242	Bolvir	15	Cerdanya		AT07	Alt Pirineu i Aran	17	Girona	195 	185 	380 
430304	Bonastre	12	Baix Penedès		AT08	Penedès	43	Tarragona	329 	312 	641 
250576	Bòrdes, Es	39	Aran		AT07	Alt Pirineu i Aran	25	Lleida	136 	101 	237 
170255	Bordils	20	Gironès		AT02	Comarques Gironines	17	Girona	844 	866 	1.710 
250582	Borges Blanques, les	18	Garrigues		AT05	Ponent	25	Lleida	3.051 	2.968 	6.019 
430311	Borges del Camp, les	8	Baix Camp		AT03	Camp de Tarragona	43	Tarragona	1.043 	1.044 	2.087 
170268	Borrassà	2	Alt Empordà		AT02	Comarques Gironines	17	Girona	368 	343 	711 
80240	Borredà	14	Berguedà		AT06	Comarques Centrals	8	Barcelona	280 	223 	503 
250595	Bossòst	39	Aran		AT07	Alt Pirineu i Aran	25	Lleida	555 	582 	1.137 
430326	Bot	37	Terra Alta		AT04	Terres de l'Ebre	43	Tarragona	320 	298 	618 
